"245","FamilyMart Co.","Japan","Convenience/Forecourt Store","7"
"67","Fast Retailing Co.","Japan","Apparel/Footwear Specialty","31"
"102","FEMSA Comercio  S.A. de C.V.","Mexico","Convenience/Forecourt Store","3"
"202","Foodstuffs North Island Ltd.","New Zealand","Supermarket","1"
"126","Foot Locker","US","Apparel/Footwear Specialty","30"
"201","Forever 21","US","Apparel/Footwear Specialty","48"
"104","GameStop Corp.","US","Other Specialty","15"
"101","Giant Eagle","US","Supermarket","1"
"122","Globus Holding GmbH & Co. KG","Germany","Hypermarket/Supercenter/Superstore","4"
"69","Gome Home Appliance Group","China","Electronics Specialty","1"
"244","Grandvision N.V.","Netherlands","Other Specialty","44"
"55","Groupe Adeo SA","France","Home Improvement","12"
"205","Groupe FNAC S.A.","France","Other Specialty","9"
"186","Grupo Comercial Chedraui  S.A.B. de C.V.","Mexico","Hypermarket/Supercenter/Superstore","2"
"168","Grupo Eroski","Spain","Supermarket","3"
"188","Gruppo Eurospin","Italy","Discount Store","2"
"174","GS Retail Co.","S. Korea","Convenience/Forecourt Store","1"
"47","H & M Hennes & Mauritz AB","Sweden","Apparel/Footwear Specialty","61"
"44","H.E. Butt Grocery Company","US","Supermarket","2"
"132","H2O Retailing Corporation","Japan","Department Store","2"
"203","Hermes International SCA","France","Apparel/Footwear Specialty","48"
"229","Hobby Lobby Stores","US","Other Specialty","1"
"148","Home Retail Group plc","UK","Non-Store","2"
"163","Homeplus Co.","S. Korea","Hypermarket/Supercenter/Superstore","1"
"225","HORNBACH Baumarkt AG Group","Germany","Home Improvement","9"
"236","HSN","US","Non-Store","1"
"114","Hudson's Bay Company","Canada","Department Store","9"
"105","Hy-Vee","US","Supermarket","1"
"83","ICA Gruppen AB","Sweden","Supermarket","5"
"220","Iceland Topco Limited","UK","Supermarket","7"
"43","Inditex  S.A.","Spain","Apparel/Footwear Specialty","88"
"238","Ingles Markets","US","Supermarket","1"
"90","Isetan Mitsukoshi Holdings Ltd.","Japan","Department Store","8"
"32","ITM Developpement International (Intermarche)","France","Supermarket","4"
"176","Izumi Co.","Japan","Hypermarket/Supercenter/Superstore","1"
"28","J Sainsbury plc","UK","Hypermarket/Supercenter/Superstore","1"
"74","J. C. Penney Company","US","Department Store","2"
"113","J. Front Retailing Co.","Japan","Department Store","2"
"36","JD.com  Inc","China","Non-Store","2"
"64","Jeronimo Martins  SGPS  S.A.","Portugal","Discount Store","3"
"65","John Lewis Partnership plc","UK","Supermarket","5"
"161","Jumbo Groep Holding B.V.","Netherlands","Supermarket","1"
"172","K's Holdings Corporation","Japan","Electronics Specialty","1"
"137","Kering S.A.","France","Apparel/Footwear Specialty","95"
"131","Kesko Corporation","Finland","Supermarket","8"
"59","Kingfisher plc","UK","Home improvement","10"
"52","Kohl's Corporation","US","Department Store","1"
"23","Koninklijke Ahold N.V. (now Ahold Delhaize)","Netherlands","Supermarket","6"
"78","L Brands","US","Apparel/Footwear Specialty","80"
"217","Lawson","Japan","Convenience/Forecourt Store","6"
"212","Lenta Group","Russia","Hypermarket/Supercenter/Superstore","1"
"97","Liberty Interactive Corporation","US","Non-Store","10"
"182","Life Corporation","Japan","Supermarket","1"
"29","Loblaw Companies Limited","Canada","Hypermarket/Supercenter/Superstore","6"
"170","Lojas Americanas S.A.","Brazil","Discount Department Store","1"
"42","Lotte Shopping Co.","S. Korea","Hypermarket/Supercenter/Superstore","6"
"107","Louis Delhaize S.A.","Belgium","Hypermarket/Supercenter/Superstore","4"
"15","Lowe's Companies","US","Home Improvement","4"
"38","LVMH Moet Hennessy-Louis Vuitton S.A.","France","Other Specialty","80"
"35","Macy's","US","Department Store","3"
"160","Majid Al Futtaim Holding LLC","UAE","Hypermarket/Supercenter/Superstore","13"
"58","Marks and Spencer Group plc","UK","Department Store","52"
"200","MatsumotoKiyoshi Holdings Co.","Japan","Drug Store/Pharmacy","2"
"194","McKesson Corporation / Celesio AG","Germany","Drug Store/Pharmacy","8"
"56","Meijer","US","Hypermarket/Supercenter/Superstore","1"
"96","Menard","US","Home Improvement","1"
"48","Mercadona  S.A.","Spain","Supermarket","1"
"13","Metro Ag","Germany","Cash & Carry/Warehouse Club","31"
"98","Metro Inc.","Canada","Supermarket","1"
"41","Migros-Genossenschafts Bund","Switzerland","Hypermarket/Supercenter/Superstore","3"
"219","Muller Holding Ltd. & Co. KG","Germany","Drug Store/Pharmacy","7"
"181","Neiman Marcus Group LTD LLC","US","Department Store","2"
"149","Next plc","UK","Apparel/Footwear Specialty","72"
"123","NIKE / Direct to Consumer","US","Apparel/Footwear Specialty","66"
"233","Nitori Holdings Co.","Japan","Other Specialty","3"
"231","Nojima Corporation","Japan","Electronics Specialty","1"
"214","Nonggongshang Supermarket (Group) Co. Ltd.","China","Supermarket","1"
"68","Nordstrom","US","Department Store","3"
"108","NorgesGruppen ASA","Norway","Discount Store","1"
"249","Norma Lebensmittelfilialbetrieb Stiftung & Co. KG","Germany","Discount Store","4"
"118","O'Reilly Automotive","US","Other Specialty","1"
"130","Office Depot","US","Other Specialty","8"
"198","OJSC Dixy Group","Russia","Supermarket","1"
"139","Organizacion Soriana  S.A.B. de C.V.","Mexico","Hypermarket/Supercenter/Superstore","1"
"251","Other",NULL,NULL,"1"
"92","Otto (GmbH & Co KG)","Germany","Non-Store","58"
"243","Overwaitea Food Group","Canada","Supermarket","1"
"208","PETCO Animal Supplies","US","Other Specialty","3"
"127","PetSmart","US","Other Specialty","3"
"171","Pick n Pay Stores Limited","S. Africa","Supermarket","7"
"61","PJSC ""Magnit""","Russia","Convenience/Forecourt Store","1"
"158","President Chain Store Corp.","Taiwan","Convenience/Forecourt Store","3"
"235","PT Indomarco Prismatama (Indomaret)","Indonesia","Convenience/Forecourt Store","1"
"239","PT Sumber Alfaria Trijaya Tbk (Alfamart)","Indonesia","Convenience/Forecourt Store","1"
"30","Publix Super Markets","US","Supermarket","1"
"224","Ralph Lauren Corporation","US","Apparel/Footwear Specialty","47"
"211","Reinalt-Thomas Corporation (dba Discount Tire/America's Tire)","US","Other Specialty","1"
"135","Reitan Group","Norway","Discount Store","7"
"22","Rewe Combine","Germany","Supermarket","11"
"37","Rite Aid Corporation","US","Drug Store/Pharmacy","1"
