"161","Slovenia","Euro"
"162","Solomon Islands","Solomon Islands Dollar"
"163","Somalia","Somali Shilling"
"164","South Africa","Rand"
"165","South Korea","South Korean Won"
"166","Spain","Euro"
"167","Sri Lanka","Sri Lankan Rupee"
"168","Sudan","Sudanese Pound"
"169","Suriname","Surinamese Dollar"
"170","Swaziland","Lilangeni"
"171","Sweden","Swedish Krona"
"172","Switzerland","Swiss Franc"
"173","Syria","Syrian Pound"
"174","Taiwan","New Taiwan Dollar"
"175","Tajikistan","Somoni"
"176","Tanzania","Tanzanian Schilling"
"177","Thailand","Thai Baht"
"178","The Bahamas","Bahamian Dollar"
"179","The Gambia","Dalasi"
"180","Togo","West African CFA Franc"
"181","Tonga","Pa'anga"
"182","Trinidad and Tobago","Trinidad and Tobago Dollar"
"183","Tunisia","Tunisian Dinar"
"184","Turkey","Turkish Lira"
"185","Turkmenistan","Turkmen New Manat"
"186","Tuvalu","Tuvaluan Dollar"
"187","Uganda","Ugandan Shilling"
"188","Ukraine","Hryvnia"
"189","United Arab Emirates","Dirham"
"190","United Kingdom","Pound Sterling"
"191","United States","United States Dollar"
"192","Uruguay","Uruguayan Peso"
"193","Uzbekistan","Uzbekistan Som"
"194","Vanuatu","Vanuatu Vatu"
"195","Vatican City","Euro"
"196","Venezuela","Bolivar Fuerte"
"197","Vietnam","Dong"
"198","Yemen","Yemeni Rial"
"199","Zambia","Zambian Kwacha"
"200","Zimbabwe","United States Dollar"
